Type,Watts,Start Date,Ownership
HPS,150,2002-09-01,COE
HPS,100,2012-03-01,COE
HPS,250,2010-12-16,COE
HPS,250,2010-10-19,COE
HPS,100,2007-10-01,COE
LED,53,2016-04-12,COE
HPS,70,2002-09-01,COE
HPS,70,1989-01-01,COE
HPS,100,1989-01-01,COE
HPS,70,2002-09-01,COE
HPS,100,2004-10-01,COE
HPS,70,2002-09-01,COE
HPS,100,1992-05-07,COE
LED,143,2015-11-25,COE
LED,90,2015-04-01,COE
HPS,100,2002-09-01,COE
LED,41,2012-11-25,COE
LED,40,2015-07-06,COE
HPS,150,2002-09-01,COE
HPS,70,1993-08-17,COE
LED,72,2013-07-24,COE
HPS,38,2002-06-11,COE
HPS,70,2007-01-01,COE
HPS,70,2009-11-24,COE
HPS,150,2000-12-14,COE
HPS,70,1986-01-01,COE
HPS,70,2002-09-01,COE
LED,40,2015-06-09,COE
HPS,38,2002-07-07,COE
HPS,100,1991-01-01,COE
HPS,70,1988-01-01,COE
LED,143,2014-10-16,COE
HPS,100,2012-04-01,COE
HPS,100,2010-08-24,COE
HPS,150,1985-01-01,COE
HPS,150,1985-01-01,COE
HPS,150,2009-12-01,COE
HPS,70,2006-03-02,COE
LED,40,2012-06-27,COE
LED,40,2012-06-27,COE
LED,19,2016-07-13,COE
LED,22,2017-01-11,COE
HPS,100,2007-11-01,COE
HPS,100,2010-11-01,COE
HPS,150,1985-01-01,COE
HPS,70,2012-11-01,COE
HPS,250,2011-03-01,COE
HPS,150,2002-09-01,COE
LED,43,2013-03-07,COE
HPS,70,1993-03-19,COE
HPS,70,2003-08-28,COE
HPS,70,2002-09-01,COE
LED,35,2015-08-01,COE
HPS,70,1989-01-01,COE
HPS,150,2012-11-21,COE
HPS,70,1985-01-01,COE
HPS,250,2003-04-24,COE
HPS,100,2007-10-01,COE
HPS,70,2012-11-01,COE
LED,65,2015-11-13,COE
HPS,70,1985-01-01,COE
LED,160,2016-04-12,COE
HPS,250,2004-01-29,COE
HPS,250,2015-12-01,COE
LED,34,2016-05-20,COE
HPS,150,2002-09-01,COE
HPS,70,1977-01-01,COE
LED,22,2013-08-16,COE
LED,35,2013-07-24,COE
HPS,41,2013-08-16,COE
LED,65,2012-12-01,COE
HPS,150,1999-12-01,COE
LED,34,2016-04-12,COE
LED,22,2013-05-06,COE
HPS,250,2011-11-01,COE
HPS,150,2008-10-03,COE
HPS,150,2002-11-01,COE
HPS,150,1988-01-01,COE
HPS,100,2003-01-01,COE
LED,48,2016-07-13,COE
HPS,150,2005-11-02,COE
HPS,100,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,70,1985-01-01,COE
HPS,100,2012-06-27,COE
HPS,100,2012-06-27,COE
HPS,70,1992-03-30,COE
LED,134,2015-01-25,COE
HPS,150,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,150,1990-05-03,COE
HPS,100,1991-01-01,COE
HPS,100,1997-06-01,COE
HPS,70,2002-09-01,COE
HPS,150,2003-08-15,COE
HPS,100,2000-02-28,COE
HPS,70,1994-08-23,COE
HPS,250,2008-05-13,COE
HPS,70,1993-05-11,COE
HPS,400,2002-09-01,COE
HPS,150,2001-11-09,COE
HPS,100,2014-02-13,COE
HPS,100,1998-01-01,COE
HPS,70,2002-09-01,COE
HPS,100,2001-01-01,COE
HPS,100,2004-10-01,COE
HPS,100,2000-10-25,COE
LED,34,2016-06-23,COE
HPS,150,1984-01-01,COE
HPS,150,1987-01-01,COE
HPS,150,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,70,1987-01-01,COE
HPS,150,2001-06-18,COE
HPS,100,2008-03-31,COE
LED,201,2013-11-13,COE
HPS,250,1988-01-01,COE
HPS,150,2008-04-01,COE
HPS,70,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,70,2005-10-01,COE
HPS,150,2003-06-25,COE
LED,160,2016-12-14,COE
HPS,250,2009-02-11,COE
HPS,250,1991-05-26,COE
HPS,250,2006-11-01,COE
HPS,100,2003-01-01,COE
MH,100,2009-03-17,COE
HPS,70,1989-11-09,COE
HPS,250,2011-12-06,COE
HPS,70,2002-09-01,COE
LED,168,2016-04-12,COE
LED,168,2016-04-12,COE
LED,43,2011-11-29,COE
LED,41,2011-11-29,COE
HPS,150,2004-07-07,COE
HPS,70,2002-09-01,COE
LED,35,2015-12-11,COE
HPS,70,2002-09-01,COE
HPS,38,1981-01-01,COE
HPS,70,2002-09-01,COE
HPS,100,1989-01-01,COE
HPS,70,2005-04-06,COE
HPS,150,1995-11-20,COE
LED,143,2015-11-18,COE
HPS,70,2002-09-01,COE
HPS,100,1989-01-01,COE
HPS,22,1989-11-01,COE
HPS,100,2010-10-15,COE
HPS,100,2002-09-01,COE
LED,34,2016-06-23,COE
HPS,400,2011-03-09,COE
LED,91,2015-10-23,COE
HPS,100,1989-01-01,COE
HPS,100,2000-10-13,COE
LED,35,2013-02-01,COE
HPS,70,1994-01-01,COE
LED,35,2012-11-01,COE
MH,100,2003-12-03,COE
HPS,22,1993-09-16,COE
HPS,100,2003-09-01,COE
HPS,70,1989-12-06,COE
HPS,150,2006-05-23,COE
LED,158,2016-11-01,COE
LED,34,2016-07-08,COE
LED,34,2016-04-12,COE
LED,22,2011-11-29,COE
LED,83,2016-04-12,COE
HPS,70,1992-12-04,COE
HPS,100,1999-12-20,COE
HPS,150,2002-09-01,COE
HPS,70,1988-02-12,COE
HPS,250,2011-12-06,COE
LED,34,2017-01-16,COE
LED,80,2016-11-01,COE
HPS,400,1985-01-01,COE
HPS,100,1995-12-19,COE
HPS,150,2001-10-04,COE
LED,43,2011-12-16,COE
LED,65,2013-08-01,COE
HPS,250,2011-08-26,COE
HPS,70,1984-01-01,COE
HPS,250,2005-04-14,COE
HPS,150,1991-01-01,COE
HPS,70,2002-09-01,COE
HPS,150,2002-09-01,COE
LED,34,2016-05-26,COE
LED,22,2013-02-27,COE
LED,43,2014-01-17,COE
HPS,70,2002-09-01,COE
HPS,150,2008-09-01,COE
HPS,70,2002-09-01,COE
LED,53,2016-04-12,COE
LED,86,2016-10-18,COE
HPS,70,1985-01-01,COE
HPS,250,2011-02-03,COE
HPS,70,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,100,1988-01-01,COE
LED,34,2016-12-14,COE
HPS,250,1994-04-22,COE
HPS,70,1993-05-01,COE
LED,86,2016-06-27,COE
LED,34,2016-12-14,COE
HPS,100,2002-09-01,COE
LED,22,2012-01-26,COE
LED,90,2015-04-01,COE
HPS,150,2002-09-01,COE
HPS,150,2002-09-01,COE
LED,71,2016-12-13,COE
HPS,100,1991-03-13,COE
HPS,70,2007-06-22,COE
HPS,22,1990-05-11,COE
LED,105,2016-12-14,COE
HPS,70,2002-09-01,COE
HPS,150,1985-01-01,COE
HPS,150,2014-05-29,COE
LED,86,2016-10-21,COE
HPS,100,1998-10-01,COE
LED,22,2011-11-29,COE
HPS,100,2010-03-10,COE
LED,72,2011-10-26,COE
LED,101,2015-04-01,COE
HPS,70,2002-09-01,COE
LED,86,2012-01-12,COE
HPS,100,2012-12-01,COE
HPS,70,2002-09-01,COE
LED,105,2016-12-14,COE
LED,73,2016-07-06,COE
HPS,100,2014-12-15,COE
HPS,150,2010-08-04,COE
LED,143,2016-11-26,COE
LED,43,2013-07-24,COE
HPS,100,2001-11-01,COE
HPS,100,2001-11-01,COE
LED,80,2016-04-12,COE
LED,43,2015-08-08,COE
LED,86,2013-11-13,COE
HPS,150,2013-01-14,COE
HPS,150,1984-01-01,COE
HPS,70,2003-01-01,COE
HPS,400,1984-01-01,COE
HPS,70,1990-05-16,COE
LED,91,2016-06-17,COE
HPS,100,1998-08-01,COE
HPS,150,2001-01-24,COE
LED,201,2016-05-12,COE
HPS,70,2002-09-01,COE
LED,43,2013-07-24,COE
LED,168,2016-04-12,COE
MH,150,2014-01-03,COE
LED,110,2016-10-21,COE
LED,72,2014-11-01,COE
HPS,70,2006-09-15,COE
HPS,150,1989-01-01,COE
HPS,400,2010-05-28,COE
HPS,150,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,100,2012-06-27,COE
HPS,100,2012-06-27,COE
HPS,70,1985-01-01,COE
HPS,70,2002-09-01,COE
HPS,150,2004-05-18,COE
HPS,150,2004-05-18,COE
HPS,70,1987-01-01,COE
HPS,70,2013-08-01,COE
LED,65,2016-12-16,COE
LED,65,2012-01-14,COE
HPS,70,1988-01-01,COE
HPS,400,1992-01-01,COE
HPS,100,1990-01-01,COE
HPS,70,1984-01-01,COE
HPS,150,1985-01-01,COE
HPS,250,2006-09-06,COE
LED,83,2016-05-20,COE
HPS,150,1985-01-01,COE
HPS,400,1985-01-01,COE
LED,90,2014-04-01,COE
HPS,150,2003-03-21,COE
LED,15,2017-01-16,COE
LED,15,2017-01-16,COE
HPS,150,1987-01-01,COE
LED,27,2017-01-16,COE
LED,34,2016-12-14,COE
HPS,70,2002-09-01,COE
LED,34,2016-07-11,COE
HPS,70,1990-12-17,COE
HPS,70,1989-11-02,COE
HPS,150,2002-11-01,COE
LED,143,2013-11-13,COE
HPS,70,2002-09-01,COE
HPS,150,2003-03-01,COE
HPS,70,1985-01-01,COE
HPS,100,2005-03-01,COE
HPS,150,1998-12-16,COE
HPS,70,1985-01-01,COE
LED,40,2014-11-01,COE
HPS,150,2002-09-01,COE
HPS,150,2002-09-01,COE
HPS,150,1986-01-01,COE
HPS,70,1985-01-01,COE
HPS,100,1999-01-01,COE
HPS,250,2007-01-01,COE
HPS,150,2002-09-01,COE
LED,34,2016-04-12,COE
HPS,70,2012-11-01,COE
HPS,70,1987-01-01,COE
HPS,100,2008-06-01,COE
HPS,70,1985-01-01,COE
HPS,150,2002-09-01,COE
HPS,70,1985-01-01,COE
HPS,70,1985-01-01,COE
HPS,70,2010-01-19,COE
HPS,100,2014-02-01,COE
LED,72,2015-08-10,COE
HPS,150,1995-08-21,COE
HPS,150,2015-06-16,COE
HPS,150,2002-09-01,COE
HPS,100,2009-10-06,COE
HPS,70,2002-09-01,COE
HPS,150,1999-08-04,COE
HPS,70,1989-11-09,COE
HPS,70,1985-01-01,COE
LED,86,2012-02-06,COE
HPS,100,2005-10-01,COE
HPS,100,2002-11-01,COE
HPS,150,1987-01-01,COE
HPS,70,1989-11-09,COE
HPS,150,2008-06-01,COE
HPS,70,2002-09-01,COE
LED,43,2016-01-01,COE
HPS,100,2002-01-01,COE
HPS,150,1985-01-01,COE
HPS,100,2014-11-01,COE
HPS,150,2009-09-15,COE
HPS,150,2003-09-03,COE
HPS,100,2002-01-09,COE
HPS,70,1987-07-10,COE
HPS,150,2000-02-23,COE
LED,41,2012-01-14,COE
HPS,150,2007-11-01,COE
HPS,70,2002-09-01,COE
HPS,100,2004-02-01,COE
LED,15,2016-07-13,COE
HPS,70,2012-01-01,COE
HPS,70,2002-09-01,COE
HPS,150,2007-03-01,COE
HPS,150,2007-11-01,COE
HPS,70,2002-09-01,COE
LED,34,2016-12-14,COE
HPS,250,2011-12-06,COE
LED,86,2013-06-12,COE
HPS,100,1988-01-01,COE
HPS,100,2002-07-01,COE
LED,201,2014-10-16,COE
LED,73,2016-04-12,COE
HPS,250,2010-06-10,COE
HPS,70,1989-12-08,COE
HPS,150,2002-09-01,COE
HPS,70,1993-05-05,COE
HPS,400,1994-01-01,COE
HPS,70,1989-12-08,COE
HPS,70,1991-12-04,COE
LED,65,2014-07-01,COE
HPS,100,1992-09-01,COE
LED,34,2015-10-22,COE
HPS,150,2013-01-10,COE
HPS,100,2010-06-02,COE
LED,168,2016-12-14,COE
HPS,100,1997-11-04,COE
HPS,100,1998-07-01,COE
HPS,70,1992-12-23,COE
HPS,60,2002-09-01,COE
HPS,150,2009-03-02,COE
HPS,100,2002-01-09,COE
HPS,100,2013-04-01,COE
LED,91,2016-04-12,COE
LED,143,2012-01-14,COE
HPS,150,1990-12-05,COE
HPS,70,2008-02-28,COE
HPS,150,1984-01-01,COE
HPS,150,2002-09-01,COE
HPS,100,1991-12-11,COE
HPS,100,1991-12-11,COE
HPS,100,2002-09-01,COE
HPS,100,2002-09-01,COE
HPS,150,2001-12-18,COE
HPS,70,2002-09-01,COE
LED,34,2015-06-30,COE
HPS,400,2014-01-30,COE
HPS,100,1985-01-01,COE
HPS,70,2002-09-01,COE
HPS,70,1986-01-01,COE
LED,90,2015-04-01,COE
LED,90,2015-04-01,COE
HPS,70,2002-09-01,COE
HPS,100,2006-02-15,COE
HPS,100,1990-02-08,COE
HPS,150,1984-01-01,COE
HPS,70,1985-01-01,COE
HPS,400,2002-09-01,COE
HPS,100,2005-06-01,COE
